Accuracy is 0.948969  No privacy
-----------------------
Accuracy is 0.855592  20% Privacy
Accuracy is 0.853420 
Accuracy is 0.863192 
Accuracy is 0.907709 
-----------------------
Accuracy is 0.904452 40 % Privacy
Accuracy is 0.915309 
Accuracy is 0.580890 
------------------------
40 Privacy! , 20 Nodes!, Accuracy is! 0.763301 
40 Privacy! , 20 Nodes!, Accuracy is! 0.882736 
40 Privacy! , 20 Nodes!, Accuracy is! 0.849077 
40 Privacy! , 20 Nodes!, Accuracy is! 0.676439 
40 Privacy! , 20 Nodes!, Accuracy is! 0.717698 
40 Privacy! , 20 Nodes!, Accuracy is! 0.515744 
40 Privacy! , 20 Nodes!, Accuracy is! 0.925081 
40 Privacy! , 20 Nodes!, Accuracy is! 0.697068 
40 Privacy! , 20 Nodes!, Accuracy is! 0.758958 
40 Privacy! , 20 Nodes!, Accuracy is! 0.811075 
40 Privacy! , 20 Nodes!, Accuracy is! 0.782845 
40 Privacy! , 20 Nodes!, Accuracy is! 0.726384 
40 Privacy! , 20 Nodes!, Accuracy is! 0.821933 
40 Privacy! , 20 Nodes!, Accuracy is! 0.782845 
40 Privacy! , 20 Nodes!, Accuracy is! 0.809989 
40 Privacy! , 20 Nodes!, Accuracy is! 0.915309 
40 Privacy! , 20 Nodes!, Accuracy is! 0.928339 
40 Privacy! , 20 Nodes!, Accuracy is! 0.844734 
40 Privacy! , 20 Nodes!, Accuracy is! 0.787188 
40 Privacy! , 20 Nodes!, Accuracy is! 0.900109 
40 Privacy! , 20 Nodes!, Accuracy is! 0.724213 
40 Privacy! , 64 Nodes!, Accuracy is! 0.950054 
40 Privacy! , 64 Nodes!, Accuracy is! 0.968512 
40 Privacy! , 64 Nodes!, Accuracy is! 0.947883 
40 Privacy! , 64 Nodes!, Accuracy is! 0.967427 
40 Privacy! , 64 Nodes!, Accuracy is! 0.942454 
40 Privacy! , 64 Nodes!, Accuracy is! 0.946797 
40 Privacy! , 64 Nodes!, Accuracy is! 0.951140 
40 Privacy! , 64 Nodes!, Accuracy is! 0.918567 
40 Privacy! , 64 Nodes!, Accuracy is! 0.950054 
40 Privacy! , 64 Nodes!, Accuracy is! 0.961998 
40 Privacy! , 64 Nodes!, Accuracy is! 0.951140 
40 Privacy! , 64 Nodes!, Accuracy is! 0.975027 
40 Privacy! , 64 Nodes!, Accuracy is! 0.970684 
40 Privacy! , 64 Nodes!, Accuracy is! 0.954397 
40 Privacy! , 64 Nodes!, Accuracy is! 0.861021 
40 Privacy! , 64 Nodes!, Accuracy is! 0.938111 
40 Privacy! , 64 Nodes!, Accuracy is! 0.890337 
40 Privacy! , 64 Nodes!, Accuracy is! 0.956569 
40 Privacy! , 64 Nodes!, Accuracy is! 0.965255 
60 Privacy! , 20 Nodes!, Accuracy is! 0.618893 
60 Privacy! , 20 Nodes!, Accuracy is! 0.932682 
60 Privacy! , 20 Nodes!, Accuracy is! 0.781759 
60 Privacy! , 20 Nodes!, Accuracy is! 0.789359 
60 Privacy! , 20 Nodes!, Accuracy is! 0.864278 
60 Privacy! , 20 Nodes!, Accuracy is! 0.598263 
60 Privacy! , 20 Nodes!, Accuracy is! 0.901194 
60 Privacy! , 20 Nodes!, Accuracy is! 0.923996 
60 Privacy! , 20 Nodes!, Accuracy is! 0.804560 
60 Privacy! , 20 Nodes!, Accuracy is! 0.882736 
60 Privacy! , 20 Nodes!, Accuracy is! 0.879479 
60 Privacy! , 20 Nodes!, Accuracy is! 0.801303 
60 Privacy! , 20 Nodes!, Accuracy is! 0.927253 
60 Privacy! , 20 Nodes!, Accuracy is! 0.707926 
60 Privacy! , 20 Nodes!, Accuracy is! 0.717698 
60 Privacy! , 20 Nodes!, Accuracy is! 0.855592 
60 Privacy! , 20 Nodes!, Accuracy is! 0.871878 
60 Privacy! , 20 Nodes!, Accuracy is! 0.668838 
60 Privacy! , 20 Nodes!, Accuracy is! 0.743757 
60 Privacy! , 20 Nodes!, Accuracy is! 0.741585 
60 Privacy! , 20 Nodes!, Accuracy is! 0.903366 
----------------------------------------------------

60 Privacy! , 64 Nodes!, Accuracy is! 0.965255 
60 Privacy! , 64 Nodes!, Accuracy is! 0.959826 
60 Privacy! , 64 Nodes!, Accuracy is! 0.961998 
60 Privacy! , 64 Nodes!, Accuracy is! 0.952226 
60 Privacy! , 64 Nodes!, Accuracy is! 0.935939 
60 Privacy! , 64 Nodes!, Accuracy is! 0.948969 
60 Privacy! , 64 Nodes!, Accuracy is! 0.958740 
60 Privacy! , 64 Nodes!, Accuracy is! 0.922910 
60 Privacy! , 64 Nodes!, Accuracy is! 0.913138 
60 Privacy! , 64 Nodes!, Accuracy is! 0.916395 
60 Privacy! , 64 Nodes!, Accuracy is! 0.956569 
60 Privacy! , 64 Nodes!, Accuracy is! 0.952226 
60 Privacy! , 64 Nodes!, Accuracy is! 0.928339 
60 Privacy! , 64 Nodes!, Accuracy is! 0.944625 
60 Privacy! , 64 Nodes!, Accuracy is! 0.912052 
60 Privacy! , 64 Nodes!, Accuracy is! 0.951140 
60 Privacy! , 64 Nodes!, Accuracy is! 0.931596 
60 Privacy! , 64 Nodes!, Accuracy is! 0.953312 
60 Privacy! , 64 Nodes!, Accuracy is! 0.941368 
60 Privacy! , 64 Nodes!, Accuracy is! 0.929425 
----------------------------------------------------
60 Privacy! , 32 Nodes!, Accuracy is! 0.782845 
60 Privacy! , 32 Nodes!, Accuracy is! 0.943540 
60 Privacy! , 32 Nodes!, Accuracy is! 0.926167 
60 Privacy! , 32 Nodes!, Accuracy is! 0.943540 
60 Privacy! , 32 Nodes!, Accuracy is! 0.964169 
60 Privacy! , 32 Nodes!, Accuracy is! 0.833876 
60 Privacy! , 32 Nodes!, Accuracy is! 0.951140 
60 Privacy! , 32 Nodes!, Accuracy is! 0.938111 
60 Privacy! , 32 Nodes!, Accuracy is! 0.942454 
60 Privacy! , 32 Nodes!, Accuracy is! 0.934853 
60 Privacy! , 32 Nodes!, Accuracy is! 0.963084 
60 Privacy! , 32 Nodes!, Accuracy is! 0.843648 
60 Privacy! , 32 Nodes!, Accuracy is! 0.928339 
60 Privacy! , 32 Nodes!, Accuracy is! 0.946797 
60 Privacy! , 32 Nodes!, Accuracy is! 0.960912 
60 Privacy! , 32 Nodes!, Accuracy is! 0.955483 
60 Privacy! , 32 Nodes!, Accuracy is! 0.827362 
60 Privacy! , 32 Nodes!, Accuracy is! 0.937025 
60 Privacy! , 32 Nodes!, Accuracy is! 0.906623 
60 Privacy! , 32 Nodes!, Accuracy is! 0.953312 
------------------------------------------------
40 Privacy! , 32 Nodes!, Accuracy is! 0.827362 
40 Privacy! , 32 Nodes!, Accuracy is! 0.896851 
40 Privacy! , 32 Nodes!, Accuracy is! 0.948969 
40 Privacy! , 32 Nodes!, Accuracy is! 0.933768 
40 Privacy! , 32 Nodes!, Accuracy is! 0.901194 
40 Privacy! , 32 Nodes!, Accuracy is! 0.850163 
40 Privacy! , 32 Nodes!, Accuracy is! 0.945711 
40 Privacy! , 32 Nodes!, Accuracy is! 0.951140 
40 Privacy! , 32 Nodes!, Accuracy is! 0.833876 
40 Privacy! , 32 Nodes!, Accuracy is! 0.943540 
40 Privacy! , 32 Nodes!, Accuracy is! 0.928339 
40 Privacy! , 32 Nodes!, Accuracy is! 0.828447 
40 Privacy! , 32 Nodes!, Accuracy is! 0.875136 
40 Privacy! , 32 Nodes!, Accuracy is! 0.938111 
40 Privacy! , 32 Nodes!, Accuracy is! 0.872964 
40 Privacy! , 32 Nodes!, Accuracy is! 0.946797 
40 Privacy! , 32 Nodes!, Accuracy is! 0.871878 
40 Privacy! , 32 Nodes!, Accuracy is! 0.934853 
40 Privacy! , 32 Nodes!, Accuracy is! 0.833876 
40 Privacy! , 32 Nodes!, Accuracy is! 0.880565 
-------------------------------------------------
0 Privacy! , 32 Nodes!, Accuracy is! 0.899023 
0 Privacy! , 32 Nodes!, Accuracy is! 0.906623 
0 Privacy! , 32 Nodes!, Accuracy is! 0.959826 
0 Privacy! , 32 Nodes!, Accuracy is! 0.893594 
0 Privacy! , 32 Nodes!, Accuracy is! 0.952226 
0 Privacy! , 32 Nodes!, Accuracy is! 0.816504 
0 Privacy! , 32 Nodes!, Accuracy is! 0.957655 
0 Privacy! , 32 Nodes!, Accuracy is! 0.882736 
0 Privacy! , 32 Nodes!, Accuracy is! 0.947883 
0 Privacy! , 32 Nodes!, Accuracy is! 0.889251 
0 Privacy! , 32 Nodes!, Accuracy is! 0.870793 
0 Privacy! , 32 Nodes!, Accuracy is! 0.899023 
0 Privacy! , 32 Nodes!, Accuracy is! 0.921824 
0 Privacy! , 32 Nodes!, Accuracy is! 0.931596 
0 Privacy! , 32 Nodes!, Accuracy is! 0.937025 
0 Privacy! , 32 Nodes!, Accuracy is! 0.964169 
0 Privacy! , 32 Nodes!, Accuracy is! 0.958740 
0 Privacy! , 32 Nodes!, Accuracy is! 0.868621 
0 Privacy! , 32 Nodes!, Accuracy is! 0.944625 
0 Privacy! , 32 Nodes!, Accuracy is! 0.909881
0 Privacy 32 Nodes = 95 Acc
-------------------------------------------------
20 Privacy! , 32 Nodes!, Accuracy is! 0.866450 
20 Privacy! , 32 Nodes!, Accuracy is! 0.892508 
20 Privacy! , 32 Nodes!, Accuracy is! 0.928339 
20 Privacy! , 32 Nodes!, Accuracy is! 0.957655 
