40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.861021 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.847991 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.829533 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.826276 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.852334 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.918567 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.829533 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.709012 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.794788 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.817590 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.817590 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.876221 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.823018 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.849077 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.786102 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.222222 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.148148 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.590164 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.639344 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.639344 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.606557 
40 Dual Privacy! , 32 Nodes!, Accuracy is! 0.524590 
